"itemA","itemB","categoryA","categoryB","item_pairs","type"
"choose what to do","think about something","cog","cog","choose what to do-think about something","within domain"
"see something","choose what to do","cog","cog","see something-choose what to do","within domain"
"feel hungry","hear something","bio","cog","feel hungry-hear something","across domain"
"sit down","feel hungry","act","bio","sit down-feel hungry","across domain"
"sit down","remember something","act","cog","sit down-remember something","across domain"
"feel pain","reach for something","bio","act","feel pain-reach for something","across domain"
"jump up and down","feel sick","act","bio","jump up and down-feel sick","across domain"
"feel scared","feel sick","bio","bio","feel scared-feel sick","within domain"
"see something","sit down","cog","act","see something-sit down","across domain"
"choose what to do","remember something","cog","cog","choose what to do-remember something","within domain"
"jump up and down","see something","act","cog","jump up and down-see something","across domain"
"kick something","hear something","act","cog","kick something-hear something","across domain"
"feel sick","jump up and down","bio","act","feel sick-jump up and down","across domain"
"feel hungry","reach for something","bio","act","feel hungry-reach for something","across domain"
"take a walk","sit down","act","act","take a walk-sit down","within domain"
"feel sick","think about something","bio","cog","feel sick-think about something","across domain"
"reach for something","hear something","act","cog","reach for something-hear something","across domain"
"remember something","feel sick","cog","bio","remember something-feel sick","across domain"
"see something","kick something","cog","act","see something-kick something","across domain"
"choose what to do","jump up and down","cog","act","choose what to do-jump up and down","across domain"
"feel scared","take a walk","bio","act","feel scared-take a walk","across domain"
"choose what to do","feel sick","cog","bio","choose what to do-feel sick","across domain"
"take a walk","think about something","act","cog","take a walk-think about something","across domain"
"choose what to do","feel hungry","cog","bio","choose what to do-feel hungry","across domain"
"reach for something","feel sick","act","bio","reach for something-feel sick","across domain"
"think about something","choose what to do","cog","cog","think about something-choose what to do","within domain"
"hear something","think about something","cog","cog","hear something-think about something","within domain"
"feel pain","see something","bio","cog","feel pain-see something","across domain"
"choose what to do","kick something","cog","act","choose what to do-kick something","across domain"
"kick something","remember something","act","cog","kick something-remember something","across domain"
"feel hungry","jump up and down","bio","act","feel hungry-jump up and down","across domain"
"feel pain","sit down","bio","act","feel pain-sit down","across domain"
"sit down","kick something","act","act","sit down-kick something","within domain"
"think about something","hear something","cog","cog","think about something-hear something","within domain"
"remember something","feel scared","cog","bio","remember something-feel scared","across domain"
"feel tired","feel scared","bio","bio","feel tired-feel scared","within domain"
"feel pain","feel sick","bio","bio","feel pain-feel sick","within domain"
"choose what to do","hear something","cog","cog","choose what to do-hear something","within domain"
"choose what to do","reach for something","cog","act","choose what to do-reach for something","across domain"
"feel tired","sit down","bio","act","feel tired-sit down","across domain"
"choose what to do","feel scared","cog","bio","choose what to do-feel scared","across domain"
"reach for something","think about something","act","cog","reach for something-think about something","across domain"
"see something","jump up and down","cog","act","see something-jump up and down","across domain"
"remember something","see something","cog","cog","remember something-see something","within domain"
"remember something","hear something","cog","cog","remember something-hear something","within domain"
"reach for something","take a walk","act","act","reach for something-take a walk","within domain"
"jump up and down","feel pain","act","bio","jump up and down-feel pain","across domain"
"sit down","see something","act","cog","sit down-see something","across domain"
"kick something","jump up and down","act","act","kick something-jump up and down","within domain"
"feel pain","feel hungry","bio","bio","feel pain-feel hungry","within domain"
"sit down","feel sick","act","bio","sit down-feel sick","across domain"
"feel tired","kick something","bio","act","feel tired-kick something","across domain"
"hear something","choose what to do","cog","cog","hear something-choose what to do","within domain"
"remember something","feel sick","cog","bio","remember something-feel sick","across domain"
"sit down","feel sick","act","bio","sit down-feel sick","across domain"
"jump up and down","feel hungry","act","bio","jump up and down-feel hungry","across domain"
"reach for something","hear something","act","cog","reach for something-hear something","across domain"
"jump up and down","sit down","act","act","jump up and down-sit down","within domain"
"see something","take a walk","cog","act","see something-take a walk","across domain"
"feel tired","kick something","bio","act","feel tired-kick something","across domain"
"feel sick","feel pain","bio","bio","feel sick-feel pain","within domain"
"choose what to do","sit down","cog","act","choose what to do-sit down","across domain"
"take a walk","kick something","act","act","take a walk-kick something","within domain"
"hear something","feel tired","cog","bio","hear something-feel tired","across domain"
"think about something","kick something","cog","act","think about something-kick something","across domain"
"feel tired","feel hungry","bio","bio","feel tired-feel hungry","within domain"
"feel tired","remember something","bio","cog","feel tired-remember something","across domain"
"feel pain","sit down","bio","act","feel pain-sit down","across domain"
"feel hungry","feel tired","bio","bio","feel hungry-feel tired","within domain"
"kick something","feel scared","act","bio","kick something-feel scared","across domain"
"feel scared","kick something","bio","act","feel scared-kick something","across domain"
"feel pain","reach for something","bio","act","feel pain-reach for something","across domain"
"feel hungry","feel pain","bio","bio","feel hungry-feel pain","within domain"
"feel hungry","think about something","bio","cog","feel hungry-think about something","across domain"
"reach for something","feel sick","act","bio","reach for something-feel sick","across domain"
"jump up and down","feel scared","act","bio","jump up and down-feel scared","across domain"
"jump up and down","see something","act","cog","jump up and down-see something","across domain"
"feel hungry","feel sick","bio","bio","feel hungry-feel sick","within domain"
"jump up and down","reach for something","act","act","jump up and down-reach for something","within domain"
"kick something","feel hungry","act","bio","kick something-feel hungry","across domain"
"feel scared","sit down","bio","act","feel scared-sit down","across domain"
"kick something","think about something","act","cog","kick something-think about something","across domain"
"see something","hear something","cog","cog","see something-hear something","within domain"
"feel tired","feel pain","bio","bio","feel tired-feel pain","within domain"
"kick something","feel tired","act","bio","kick something-feel tired","across domain"
"feel hungry","see something","bio","cog","feel hungry-see something","across domain"
"feel pain","feel sick","bio","bio","feel pain-feel sick","within domain"
"choose what to do","take a walk","cog","act","choose what to do-take a walk","across domain"
"feel hungry","reach for something","bio","act","feel hungry-reach for something","across domain"
"think about something","feel sick","cog","bio","think about something-feel sick","across domain"
"feel tired","choose what to do","bio","cog","feel tired-choose what to do","across domain"
"feel hungry","jump up and down","bio","act","feel hungry-jump up and down","across domain"
"feel tired","take a walk","bio","act","feel tired-take a walk","across domain"
"jump up and down","take a walk","act","act","jump up and down-take a walk","within domain"
"reach for something","feel hungry","act","bio","reach for something-feel hungry","across domain"
"feel scared","remember something","bio","cog","feel scared-remember something","across domain"
"feel tired","take a walk","bio","act","feel tired-take a walk","across domain"
"sit down","feel pain","act","bio","sit down-feel pain","across domain"
"remember something","reach for something","cog","act","remember something-reach for something","across domain"
"sit down","take a walk","act","act","sit down-take a walk","within domain"
"kick something","hear something","act","cog","kick something-hear something","across domain"
"hear something","feel pain","cog","bio","hear something-feel pain","across domain"
"choose what to do","feel hungry","cog","bio","choose what to do-feel hungry","across domain"
"choose what to do","remember something","cog","cog","choose what to do-remember something","within domain"
"hear something","think about something","cog","cog","hear something-think about something","within domain"
"remember something","feel hungry","cog","bio","remember something-feel hungry","across domain"
"choose what to do","reach for something","cog","act","choose what to do-reach for something","across domain"
"remember something","feel pain","cog","bio","remember something-feel pain","across domain"
"hear something","reach for something","cog","act","hear something-reach for something","across domain"
"take a walk","see something","act","cog","take a walk-see something","across domain"
"reach for something","feel sick","act","bio","reach for something-feel sick","across domain"
"remember something","sit down","cog","act","remember something-sit down","across domain"
"sit down","feel sick","act","bio","sit down-feel sick","across domain"
"feel tired","feel pain","bio","bio","feel tired-feel pain","within domain"
"feel scared","take a walk","bio","act","feel scared-take a walk","across domain"
"jump up and down","kick something","act","act","jump up and down-kick something","within domain"
"kick something","feel tired","act","bio","kick something-feel tired","across domain"
"think about something","feel pain","cog","bio","think about something-feel pain","across domain"
"feel pain","sit down","bio","act","feel pain-sit down","across domain"
"reach for something","feel tired","act","bio","reach for something-feel tired","across domain"
"feel pain","feel scared","bio","bio","feel pain-feel scared","within domain"
"feel hungry","choose what to do","bio","cog","feel hungry-choose what to do","across domain"
"see something","feel hungry","cog","bio","see something-feel hungry","across domain"
"feel sick","feel tired","bio","bio","feel sick-feel tired","within domain"
"choose what to do","feel pain","cog","bio","choose what to do-feel pain","across domain"
"see something","take a walk","cog","act","see something-take a walk","across domain"
"feel scared","sit down","bio","act","feel scared-sit down","across domain"
"feel sick","feel scared","bio","bio","feel sick-feel scared","within domain"
"sit down","think about something","act","cog","sit down-think about something","across domain"
"feel sick","see something","bio","cog","feel sick-see something","across domain"
"think about something","take a walk","cog","act","think about something-take a walk","across domain"
"feel scared","feel pain","bio","bio","feel scared-feel pain","within domain"
"feel hungry","take a walk","bio","act","feel hungry-take a walk","across domain"
"feel scared","jump up and down","bio","act","feel scared-jump up and down","across domain"
"feel pain","choose what to do","bio","cog","feel pain-choose what to do","across domain"
"feel scared","reach for something","bio","act","feel scared-reach for something","across domain"
"jump up and down","choose what to do","act","cog","jump up and down-choose what to do","across domain"
"sit down","jump up and down","act","act","sit down-jump up and down","within domain"
"feel pain","feel scared","bio","bio","feel pain-feel scared","within domain"
"feel pain","feel hungry","bio","bio","feel pain-feel hungry","within domain"
"feel scared","think about something","bio","cog","feel scared-think about something","across domain"
"feel pain","remember something","bio","cog","feel pain-remember something","across domain"
"see something","feel pain","cog","bio","see something-feel pain","across domain"
"take a walk","see something","act","cog","take a walk-see something","across domain"
"kick something","take a walk","act","act","kick something-take a walk","within domain"
"feel tired","remember something","bio","cog","feel tired-remember something","across domain"
"sit down","choose what to do","act","cog","sit down-choose what to do","across domain"
"feel hungry","take a walk","bio","act","feel hungry-take a walk","across domain"
"see something","hear something","cog","cog","see something-hear something","within domain"
"hear something","reach for something","cog","act","hear something-reach for something","across domain"
"think about something","feel scared","cog","bio","think about something-feel scared","across domain"
"reach for something","hear something","act","cog","reach for something-hear something","across domain"
"see something","reach for something","cog","act","see something-reach for something","across domain"
"feel sick","feel tired","bio","bio","feel sick-feel tired","within domain"
"remember something","jump up and down","cog","act","remember something-jump up and down","across domain"
"choose what to do","feel scared","cog","bio","choose what to do-feel scared","across domain"
"remember something","feel scared","cog","bio","remember something-feel scared","across domain"
"choose what to do","feel tired","cog","bio","choose what to do-feel tired","across domain"
"feel sick","feel pain","bio","bio","feel sick-feel pain","within domain"
"see something","jump up and down","cog","act","see something-jump up and down","across domain"
"take a walk","think about something","act","cog","take a walk-think about something","across domain"
"feel scared","see something","bio","cog","feel scared-see something","across domain"
"feel pain","jump up and down","bio","act","feel pain-jump up and down","across domain"
"feel scared","kick something","bio","act","feel scared-kick something","across domain"
"think about something","hear something","cog","cog","think about something-hear something","within domain"
"feel scared","remember something","bio","cog","feel scared-remember something","across domain"
"feel scared","sit down","bio","act","feel scared-sit down","across domain"
"take a walk","feel sick","act","bio","take a walk-feel sick","across domain"
"hear something","feel hungry","cog","bio","hear something-feel hungry","across domain"
"feel scared","feel pain","bio","bio","feel scared-feel pain","within domain"
"take a walk","reach for something","act","act","take a walk-reach for something","within domain"
"feel pain","choose what to do","bio","cog","feel pain-choose what to do","across domain"
"reach for something","choose what to do","act","cog","reach for something-choose what to do","across domain"
"feel pain","reach for something","bio","act","feel pain-reach for something","across domain"
"feel sick","jump up and down","bio","act","feel sick-jump up and down","across domain"
"kick something","reach for something","act","act","kick something-reach for something","within domain"
"feel hungry","reach for something","bio","act","feel hungry-reach for something","across domain"
"reach for something","remember something","act","cog","reach for something-remember something","across domain"
"reach for something","kick something","act","act","reach for something-kick something","within domain"
"remember something","feel sick","cog","bio","remember something-feel sick","across domain"
"think about something","hear something","cog","cog","think about something-hear something","within domain"
"take a walk","feel pain","act","bio","take a walk-feel pain","across domain"
"feel scared","jump up and down","bio","act","feel scared-jump up and down","across domain"
"feel tired","feel scared","bio","bio","feel tired-feel scared","within domain"
"hear something","feel scared","cog","bio","hear something-feel scared","across domain"
"reach for something","remember something","act","cog","reach for something-remember something","across domain"
"sit down","think about something","act","cog","sit down-think about something","across domain"
"feel scared","think about something","bio","cog","feel scared-think about something","across domain"
"remember something","take a walk","cog","act","remember something-take a walk","across domain"
"kick something","feel pain","act","bio","kick something-feel pain","across domain"
"feel sick","kick something","bio","act","feel sick-kick something","across domain"
"remember something","kick something","cog","act","remember something-kick something","across domain"
"jump up and down","think about something","act","cog","jump up and down-think about something","across domain"
"feel scared","take a walk","bio","act","feel scared-take a walk","across domain"
"remember something","think about something","cog","cog","remember something-think about something","within domain"
"hear something","feel sick","cog","bio","hear something-feel sick","across domain"
"see something","feel sick","cog","bio","see something-feel sick","across domain"
"remember something","see something","cog","cog","remember something-see something","within domain"
"feel pain","feel tired","bio","bio","feel pain-feel tired","within domain"
"feel sick","reach for something","bio","act","feel sick-reach for something","across domain"
"feel scared","reach for something","bio","act","feel scared-reach for something","across domain"
"see something","sit down","cog","act","see something-sit down","across domain"
"choose what to do","feel tired","cog","bio","choose what to do-feel tired","across domain"
"feel scared","sit down","bio","act","feel scared-sit down","across domain"
"see something","hear something","cog","cog","see something-hear something","within domain"
"feel pain","choose what to do","bio","cog","feel pain-choose what to do","across domain"
"choose what to do","feel scared","cog","bio","choose what to do-feel scared","across domain"
"feel scared","see something","bio","cog","feel scared-see something","across domain"
"see something","jump up and down","cog","act","see something-jump up and down","across domain"
"see something","choose what to do","cog","cog","see something-choose what to do","within domain"
"feel hungry","feel tired","bio","bio","feel hungry-feel tired","within domain"
"take a walk","feel sick","act","bio","take a walk-feel sick","across domain"
"take a walk","kick something","act","act","take a walk-kick something","within domain"
"see something","kick something","cog","act","see something-kick something","across domain"
"kick something","jump up and down","act","act","kick something-jump up and down","within domain"
"remember something","sit down","cog","act","remember something-sit down","across domain"
"feel hungry","feel pain","bio","bio","feel hungry-feel pain","within domain"
"jump up and down","feel sick","act","bio","jump up and down-feel sick","across domain"
"choose what to do","feel pain","cog","bio","choose what to do-feel pain","across domain"
"sit down","hear something","act","cog","sit down-hear something","across domain"
"feel sick","feel pain","bio","bio","feel sick-feel pain","within domain"
"feel hungry","feel tired","bio","bio","feel hungry-feel tired","within domain"
"feel pain","sit down","bio","act","feel pain-sit down","across domain"
"feel pain","think about something","bio","cog","feel pain-think about something","across domain"
"reach for something","feel pain","act","bio","reach for something-feel pain","across domain"
"kick something","think about something","act","cog","kick something-think about something","across domain"
"sit down","kick something","act","act","sit down-kick something","within domain"
"see something","hear something","cog","cog","see something-hear something","within domain"
"take a walk","feel hungry","act","bio","take a walk-feel hungry","across domain"
"reach for something","see something","act","cog","reach for something-see something","across domain"
"feel scared","jump up and down","bio","act","feel scared-jump up and down","across domain"
"jump up and down","sit down","act","act","jump up and down-sit down","within domain"
"kick something","feel pain","act","bio","kick something-feel pain","across domain"
"feel tired","feel scared","bio","bio","feel tired-feel scared","within domain"
"think about something","feel tired","cog","bio","think about something-feel tired","across domain"
"take a walk","jump up and down","act","act","take a walk-jump up and down","within domain"
"feel scared","reach for something","bio","act","feel scared-reach for something","across domain"
"hear something","feel hungry","cog","bio","hear something-feel hungry","across domain"
"sit down","feel sick","act","bio","sit down-feel sick","across domain"
"sit down","remember something","act","cog","sit down-remember something","across domain"
"feel pain","feel hungry","bio","bio","feel pain-feel hungry","within domain"
"hear something","feel sick","cog","bio","hear something-feel sick","across domain"
"feel sick","take a walk","bio","act","feel sick-take a walk","across domain"
"think about something","feel sick","cog","bio","think about something-feel sick","across domain"
"kick something","sit down","act","act","kick something-sit down","within domain"
"feel pain","see something","bio","cog","feel pain-see something","across domain"
"think about something","feel hungry","cog","bio","think about something-feel hungry","across domain"
"see something","feel hungry","cog","bio","see something-feel hungry","across domain"
"jump up and down","take a walk","act","act","jump up and down-take a walk","within domain"
"feel hungry","take a walk","bio","act","feel hungry-take a walk","across domain"
"feel scared","choose what to do","bio","cog","feel scared-choose what to do","across domain"
"reach for something","feel sick","act","bio","reach for something-feel sick","across domain"
"choose what to do","feel scared","cog","bio","choose what to do-feel scared","across domain"
"see something","sit down","cog","act","see something-sit down","across domain"
"feel hungry","jump up and down","bio","act","feel hungry-jump up and down","across domain"
"take a walk","feel scared","act","bio","take a walk-feel scared","across domain"
"choose what to do","see something","cog","cog","choose what to do-see something","within domain"
"kick something","feel hungry","act","bio","kick something-feel hungry","across domain"
"remember something","reach for something","cog","act","remember something-reach for something","across domain"
